Method,Dataset,Accuracy (R@1),Accuracy (R@5),Accuracy (R@10),Extraction Latency CPU (ms),Extraction Latency GPU (ms),Matching Latency (ms),Model Memory (MB),DB Memory (MB)
TeTRA-GeM-DD[1],SVOX-sun,78.22,91.10,93.68,,13.66,0.23,55.55,4.19
TeTRA-GeM-DD[1],SVOX-rain,85.27,94.98,96.69,,13.19,0.24,55.55,4.19
TeTRA-GeM-DD[1],SVOX-snow,86.90,96.55,97.82,,13.82,0.27,55.55,4.19
TeTRA-GeM-DD[1],SVOX-overcast,91.40,97.82,98.85,,13.89,0.23,55.55,4.19
TeTRA-GeM-DD[1],SVOX-night,26.37,47.14,55.77,,13.83,0.23,55.55,4.19
TeTRA-GeM-DD[1],MSLS,79.43,88.98,91.54,,13.37,0.26,55.55,4.61
TeTRA-GeM-DD[1],Pitts30k,88.48,94.78,96.39,,13.98,0.14,55.55,2.44
TeTRA-GeM-DD[1],Essex3in1,84.76,99.05,99.05,,14.06,0.01,55.55,0.05
TeTRA-GeM-DD[1],Tokyo247,73.33,88.25,92.70,,13.35,1.03,55.55,18.55
TeTRA-GeM-DD[1],Nordland,17.54,28.41,33.51,,13.21,0.37,55.55,6.74
TeTRA-GeM-DD[1],SPED,100.00,100.00,100.00,,13.31,0.01,55.55,0.15
TeTRA-GeM-DD[2],SVOX-sun,72.48,87.00,91.22,,13.47,0.13,52.54,2.10
TeTRA-GeM-DD[2],SVOX-rain,79.19,93.49,94.98,,13.30,0.16,52.54,2.10
TeTRA-GeM-DD[2],SVOX-snow,83.45,94.71,97.01,,13.35,0.13,52.54,2.10
TeTRA-GeM-DD[2],SVOX-overcast,91.28,97.36,98.39,,13.52,0.13,52.54,2.10
TeTRA-GeM-DD[2],SVOX-night,23.09,41.68,49.70,,13.46,0.14,52.54,2.10
TeTRA-GeM-DD[2],MSLS,77.48,87.96,90.67,,13.35,0.15,52.54,2.30
TeTRA-GeM-DD[2],Pitts30k,87.82,94.26,96.17,,13.30,0.08,52.54,1.22
TeTRA-GeM-DD[2],Essex3in1,85.24,99.05,99.05,,13.69,0.01,52.54,0.03
TeTRA-GeM-DD[2],Tokyo247,67.94,85.71,90.16,,13.27,0.60,52.54,9.28
TeTRA-GeM-DD[2],Nordland,15.25,27.21,31.96,,13.52,0.22,52.54,3.37
TeTRA-GeM-DD[2],SPED,100.00,100.00,100.00,,13.14,0.01,52.54,0.07
TeTRA-BoQ-DD[1],SVOX-sun,93.91,98.71,99.30,,14.28,1.39,103.41,25.15
TeTRA-BoQ-DD[1],SVOX-rain,96.69,99.15,99.47,,14.13,1.42,103.41,25.15
TeTRA-BoQ-DD[1],SVOX-snow,98.05,99.31,99.43,,14.47,1.42,103.41,25.15
TeTRA-BoQ-DD[1],SVOX-overcast,97.94,98.85,99.31,,14.89,1.33,103.41,25.15
TeTRA-BoQ-DD[1],SVOX-night,64.88,82.14,85.42,,14.35,1.34,103.41,25.15
TeTRA-BoQ-DD[1],MSLS,86.61,92.66,94.43,,15.02,1.55,103.41,27.64
TeTRA-BoQ-DD[1],Pitts30k,91.67,95.86,97.20,,14.86,0.76,103.41,14.65
